[134] Result Successful, max_pct_diff=0.000015 	NY = 32 		NH = 4 		natC: 1781 		vecC: 127 	
[135] Result Successful, max_pct_diff=0.000042 	NY = 32 		NH = 8 		natC: 3413 		vecC: 179 	
[136] Result Successful, max_pct_diff=0.000913 	NY = 32 		NH = 12 		natC: 4867 		vecC: 230 	
[137] Result Successful, max_pct_diff=0.000913 	NY = 32 		NH = 16 		natC: 6300 		vecC: 283 	
[138] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 4 		natC: 2220 		vecC: 152 	
[139] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 8 		natC: 4229 		vecC: 218 	
[140] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 12 		natC: 6009 		vecC: 282 	
[141] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 16 		natC: 7770 		vecC: 347 	
[142] Result Successful, max_pct_diff=0.000913 	NY = 48 		NH = 4 		natC: 2632 		vecC: 179 	
[143] Result Successful, max_pct_diff=0.000996 	NY = 48 		NH = 8 		natC: 5012 		vecC: 256 	
[144] Result Successful, max_pct_diff=0.001153 	NY = 48 		NH = 12 		natC: 7118 		vecC: 334 	
[145] Result Successful, max_pct_diff=0.001153 	NY = 48 		NH = 16 		natC: 9203 		vecC: 413 	
[146] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 4 		natC: 3044 		vecC: 205 	
[147] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 8 		natC: 5794 		vecC: 296 	
[148] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 12 		natC: 8226 		vecC: 386 	
[149] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 16 		natC: 10637 		vecC: 478 	
[150] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 4 		natC: 3455 		vecC: 231 	
[151] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 8 		natC: 6574 		vecC: 335 	
[152] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 12 		natC: 9342 		vecC: 438 	
[153] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 16 		natC: 12110 		vecC: 543 	
[154] Result Successful, max_pct_diff=0.001153 	NY = 72 		NH = 4 		natC: 3876 		vecC: 257 	
[155] Result Successful, max_pct_diff=0.001153 	NY = 72 		NH = 8 		natC: 7396 		vecC: 374 	
[156] Result Successful, max_pct_diff=0.001153 	NY = 72 		NH = 12 		natC: 10529 		vecC: 490 	
[157] Result Successful, max_pct_diff=0.001559 	NY = 72 		NH = 16 		natC: 13664 		vecC: 608 	
[158] Result Successful, max_pct_diff=0.001559 	NY = 80 		NH = 4 		natC: 4322 		vecC: 282 	
[159] Result Successful, max_pct_diff=0.001559 	NY = 80 		NH = 8 		natC: 8252 		vecC: 413 	
[160] Result Successful, max_pct_diff=0.001559 	NY = 80 		NH = 12 		natC: 11752 		vecC: 542 	
[161] Result Successful, max_pct_diff=0.002222 	NY = 80 		NH = 16 		natC: 15252 		vecC: 673 	
[162] Result Successful, max_pct_diff=0.002222 	NY = 88 		NH = 4 		natC: 4767 		vecC: 308 	
[163] Result Successful, max_pct_diff=0.002222 	NY = 88 		NH = 8 		natC: 9108 		vecC: 452 	
[164] Result Failure, max_pct_diff=0.052492 	NY = 88 		NH = 12 		natC: 12974 		vecC: 594 	
[165] Result Failure, max_pct_diff=0.052492 	NY = 88 		NH = 16 		natC: 16840 		vecC: 742 	
[166] Result Failure, max_pct_diff=0.052492 	NY = 96 		NH = 4 		natC: 5215 		vecC: 338 	
[167] Result Failure, max_pct_diff=0.052492 	NY = 96 		NH = 8 		natC: 9965 		vecC: 494 	
[168] Result Failure, max_pct_diff=0.052492 	NY = 96 		NH = 12 		natC: 14186 		vecC: 649 	
[169] Result Failure, max_pct_diff=0.052492 	NY = 96 		NH = 16 		natC: 18389 		vecC: 807 	
[170] Result Failure, max_pct_diff=0.052492 	NY = 104 		NH = 4 		natC: 5651 		vecC: 364 	
[171] Result Failure, max_pct_diff=0.052492 	NY = 104 		NH = 8 		natC: 10782 		vecC: 534 	
[172] Result Failure, max_pct_diff=0.052492 	NY = 104 		NH = 12 		natC: 15330 		vecC: 702 	
[173] Result Failure, max_pct_diff=0.052492 	NY = 104 		NH = 16 		natC: 19858 		vecC: 872 	
[174] Result Failure, max_pct_diff=0.099475 	NY = 112 		NH = 4 		natC: 6064 		vecC: 390 	
[175] Result Failure, max_pct_diff=0.099475 	NY = 112 		NH = 8 		natC: 11564 		vecC: 572 	
[176] Result Failure, max_pct_diff=0.099475 	NY = 112 		NH = 12 		natC: 16438 		vecC: 754 	
[177] Result Failure, max_pct_diff=0.099475 	NY = 112 		NH = 16 		natC: 21291 		vecC: 936 	
[178] Result Failure, max_pct_diff=0.099475 	NY = 120 		NH = 4 		natC: 6475 		vecC: 416 	
[179] Result Failure, max_pct_diff=0.099475 	NY = 120 		NH = 8 		natC: 12346 		vecC: 612 	
[180] Result Failure, max_pct_diff=0.099475 	NY = 120 		NH = 12 		natC: 17546 		vecC: 806 	
[181] Result Failure, max_pct_diff=0.099475 	NY = 120 		NH = 16 		natC: 22726 		vecC: 1001 	
[182] Result Failure, max_pct_diff=0.099475 	NY = 128 		NH = 4 		natC: 6887 		vecC: 442 	
[183] Result Failure, max_pct_diff=0.099475 	NY = 128 		NH = 8 		natC: 13126 		vecC: 650 	
[184] Result Failure, max_pct_diff=0.099475 	NY = 128 		NH = 12 		natC: 18663 		vecC: 858 	
[185] Result Failure, max_pct_diff=0.099475 	NY = 128 		NH = 16 		natC: 24198 		vecC: 1066 	
