[74] Result Successful, max_pct_diff=0.000015 	NY = 32 		NH = 4 		natC: 1781 		vecC: 126 	
[75] Result Successful, max_pct_diff=0.000042 	NY = 32 		NH = 8 		natC: 3412 		vecC: 173 	
[76] Result Successful, max_pct_diff=0.000913 	NY = 32 		NH = 12 		natC: 4866 		vecC: 221 	
[77] Result Successful, max_pct_diff=0.000913 	NY = 32 		NH = 16 		natC: 6300 		vecC: 269 	
[78] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 4 		natC: 2219 		vecC: 150 	
[79] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 8 		natC: 4230 		vecC: 211 	
[80] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 12 		natC: 6010 		vecC: 270 	
[81] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 16 		natC: 7770 		vecC: 331 	
[82] Result Successful, max_pct_diff=0.000913 	NY = 48 		NH = 4 		natC: 2632 		vecC: 176 	
[83] Result Successful, max_pct_diff=0.000996 	NY = 48 		NH = 8 		natC: 5011 		vecC: 248 	
[84] Result Successful, max_pct_diff=0.001153 	NY = 48 		NH = 12 		natC: 7117 		vecC: 320 	
[85] Result Successful, max_pct_diff=0.001153 	NY = 48 		NH = 16 		natC: 9204 		vecC: 393 	
[86] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 4 		natC: 3043 		vecC: 201 	
[87] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 8 		natC: 5793 		vecC: 286 	
[88] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 12 		natC: 8226 		vecC: 369 	
[89] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 16 		natC: 10638 		vecC: 454 	
[90] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 4 		natC: 3455 		vecC: 227 	
[91] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 8 		natC: 6575 		vecC: 324 	
[92] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 12 		natC: 9343 		vecC: 419 	
[93] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 16 		natC: 12111 		vecC: 516 	
[94] Result Successful, max_pct_diff=0.001153 	NY = 72 		NH = 4 		natC: 3875 		vecC: 252 	
[95] Result Successful, max_pct_diff=0.001153 	NY = 72 		NH = 8 		natC: 7395 		vecC: 361 	
[96] Result Successful, max_pct_diff=0.001153 	NY = 72 		NH = 12 		natC: 10530 		vecC: 469 	
[97] Result Successful, max_pct_diff=0.001559 	NY = 72 		NH = 16 		natC: 13664 		vecC: 577 	
[98] Result Successful, max_pct_diff=0.001559 	NY = 80 		NH = 4 		natC: 4322 		vecC: 278 	
[99] Result Successful, max_pct_diff=0.001559 	NY = 80 		NH = 8 		natC: 8252 		vecC: 399 	
[100] Result Successful, max_pct_diff=0.001559 	NY = 80 		NH = 12 		natC: 11751 		vecC: 518 	
[101] Result Successful, max_pct_diff=0.002222 	NY = 80 		NH = 16 		natC: 15252 		vecC: 639 	
[102] Result Successful, max_pct_diff=0.002222 	NY = 88 		NH = 4 		natC: 4767 		vecC: 303 	
[103] Result Successful, max_pct_diff=0.002222 	NY = 88 		NH = 8 		natC: 9107 		vecC: 436 	
[104] Result Failure, max_pct_diff=0.052492 	NY = 88 		NH = 12 		natC: 12974 		vecC: 568 	
[105] Result Failure, max_pct_diff=0.052492 	NY = 88 		NH = 16 		natC: 16839 		vecC: 703 	
[106] Result Failure, max_pct_diff=0.052492 	NY = 96 		NH = 4 		natC: 5214 		vecC: 332 	
[107] Result Failure, max_pct_diff=0.052492 	NY = 96 		NH = 8 		natC: 9965 		vecC: 477 	
[108] Result Failure, max_pct_diff=0.052492 	NY = 96 		NH = 12 		natC: 14187 		vecC: 620 	
[109] Result Failure, max_pct_diff=0.052492 	NY = 96 		NH = 16 		natC: 18388 		vecC: 765 	
[110] Result Failure, max_pct_diff=0.052492 	NY = 104 		NH = 4 		natC: 5652 		vecC: 358 	
[111] Result Failure, max_pct_diff=0.052492 	NY = 104 		NH = 8 		natC: 10782 		vecC: 515 	
[112] Result Failure, max_pct_diff=0.052492 	NY = 104 		NH = 12 		natC: 15330 		vecC: 670 	
[113] Result Failure, max_pct_diff=0.052492 	NY = 104 		NH = 16 		natC: 19858 		vecC: 827 	
[114] Result Failure, max_pct_diff=0.099475 	NY = 112 		NH = 4 		natC: 6063 		vecC: 383 	
[115] Result Failure, max_pct_diff=0.099475 	NY = 112 		NH = 8 		natC: 11564 		vecC: 552 	
[116] Result Failure, max_pct_diff=0.099475 	NY = 112 		NH = 12 		natC: 16437 		vecC: 719 	
[117] Result Failure, max_pct_diff=0.099475 	NY = 112 		NH = 16 		natC: 21291 		vecC: 888 	
[118] Result Failure, max_pct_diff=0.099475 	NY = 120 		NH = 4 		natC: 6476 		vecC: 409 	
[119] Result Failure, max_pct_diff=0.099475 	NY = 120 		NH = 8 		natC: 12345 		vecC: 589 	
[120] Result Failure, max_pct_diff=0.099475 	NY = 120 		NH = 12 		natC: 17546 		vecC: 769 	
[121] Result Failure, max_pct_diff=0.099475 	NY = 120 		NH = 16 		natC: 22726 		vecC: 950 	
[122] Result Failure, max_pct_diff=0.099475 	NY = 128 		NH = 4 		natC: 6887 		vecC: 434 	
[123] Result Failure, max_pct_diff=0.099475 	NY = 128 		NH = 8 		natC: 13127 		vecC: 627 	
[124] Result Failure, max_pct_diff=0.099475 	NY = 128 		NH = 12 		natC: 18663 		vecC: 819 	
[125] Result Failure, max_pct_diff=0.099475 	NY = 128 		NH = 16 		natC: 24198 		vecC: 1011 	
