[41] Result Successful, max_pct_diff=0.000015 	NY = 32 		NH = 4 		natC: 1745 		vecC: 220 	
[42] Result Successful, max_pct_diff=0.000042 	NY = 32 		NH = 8 		natC: 3336 		vecC: 270 	
[43] Result Successful, max_pct_diff=0.000913 	NY = 32 		NH = 12 		natC: 4947 		vecC: 340 	
[44] Result Successful, max_pct_diff=0.000913 	NY = 32 		NH = 16 		natC: 6577 		vecC: 408 	
[45] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 4 		natC: 2193 		vecC: 264 	
[46] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 8 		natC: 4193 		vecC: 329 	
[47] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 12 		natC: 6204 		vecC: 414 	
[48] Result Successful, max_pct_diff=0.000913 	NY = 40 		NH = 16 		natC: 8213 		vecC: 500 	
[49] Result Successful, max_pct_diff=0.000913 	NY = 48 		NH = 4 		natC: 2630 		vecC: 309 	
[50] Result Successful, max_pct_diff=0.000996 	NY = 48 		NH = 8 		natC: 5011 		vecC: 388 	
[51] Result Successful, max_pct_diff=0.001153 	NY = 48 		NH = 12 		natC: 7390 		vecC: 490 	
[52] Result Successful, max_pct_diff=0.001153 	NY = 48 		NH = 16 		natC: 9771 		vecC: 592 	
[53] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 4 		natC: 3042 		vecC: 354 	
[54] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 8 		natC: 5793 		vecC: 447 	
[55] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 12 		natC: 8543 		vecC: 566 	
[56] Result Successful, max_pct_diff=0.001153 	NY = 56 		NH = 16 		natC: 11293 		vecC: 685 	
[57] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 4 		natC: 3454 		vecC: 399 	
[58] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 8 		natC: 6574 		vecC: 504 	
[59] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 12 		natC: 9695 		vecC: 642 	
[60] Result Successful, max_pct_diff=0.001153 	NY = 64 		NH = 16 		natC: 12815 		vecC: 778 	
[61] Result Successful, max_pct_diff=0.001153 	NY = 72 		NH = 4 		natC: 3866 		vecC: 444 	
[62] Result Successful, max_pct_diff=0.001153 	NY = 72 		NH = 8 		natC: 7356 		vecC: 563 	
[63] Result Successful, max_pct_diff=0.001153 	NY = 72 		NH = 12 		natC: 10856 		vecC: 717 	
[64] Result Successful, max_pct_diff=0.001559 	NY = 72 		NH = 16 		natC: 14375 		vecC: 870 	
[65] Result Successful, max_pct_diff=0.001559 	NY = 80 		NH = 4 		natC: 4287 		vecC: 489 	
[66] Result Successful, max_pct_diff=0.001559 	NY = 80 		NH = 8 		natC: 8176 		vecC: 621 	
[67] Result Successful, max_pct_diff=0.001559 	NY = 80 		NH = 12 		natC: 12086 		vecC: 792 	
[68] Result Successful, max_pct_diff=0.002222 	NY = 80 		NH = 16 		natC: 16016 		vecC: 962 	
[69] Result Successful, max_pct_diff=0.002222 	NY = 88 		NH = 4 		natC: 4733 		vecC: 534 	
