NR	optC	vc_cycle	sa_cycle	asm_cycle
4	52	133	20	18
8	58	129	21	20
12	64	129	22	20
16	70	129	21	19
20	76	138	24	22
24	82	138	24	22
28	88	138	25	22
32	94	137	24	22
36	100	147	27	24
40	106	146	27	24
44	112	147	27	24
48	118	147	27	24
52	124	155	30	26
56	130	154	29	26
60	136	154	30	26
64	142	154	30	27
68	148	163	32	28
72	154	164	33	29
76	160	164	33	29
80	166	164	32	29
84	172	170	36	31
88	178	170	36	31
92	184	171	36	30
96	190	170	36	31
100	196	179	39	32
104	202	180	38	33
108	208	179	39	33
112	214	179	38	33
116	220	186	41	35
120	226	187	41	35
124	232	187	41	35
128	238	187	41	35
